user	item	rating	time
921	82	3	884673954
665	315	4	884697720
533	242	4	884698095
533	147	1	884698117
524	751	4	884701677
524	310	4	884701677
524	898	4	884701702
524	541	1	884702593
170	294	3	884705913
170	288	3	884706012
170	687	3	884706063
170	988	3	884706063
82	289	1	884713642
82	304	3	884713664
82	895	1	884713704
82	539	3	884713704
82	338	1	884713704
82	343	1	884713755
82	275	2	884714125
82	458	1	884714145
82	283	2	884714164
82	475	1	884714181
82	109	1	884714204
82	1163	2	884714204
82	508	2	884714249
82	740	2	884714249
82	281	3	884714290
82	1128	1	884714361
82	1162	1	884714361
82	240	1	884714385
82	1134	2	884714402
82	409	1	884714421
82	21	1	884714456
82	1059	1	884714456
82	717	1	884714492
82	412	1	884714513
82	1033	1	884714560
82	413	1	884714593
82	456	1	884714618
82	834	1	884714618
82	678	1	884714726
717	293	5	884715103
717	50	4	884715122
717	246	5	884715146
717	250	1	884715146
717	127	4	884715172
717	298	3	884715172
925	332	4	884717404
925	876	3	884717404
925	299	3	884717478
925	682	4	884717586
925	260	3	884717669
925	678	3	884717790
925	948	2	884717790
925	327	3	884717790
925	333	3	884717790
925	98	4	884717862
925	218	4	884717862
925	773	1	884717862
925	185	4	884717963
925	447	4	884717963
925	559	3	884717963
925	56	3	884717963
925	200	2	884717963
925	558	1	884718099
925	672	3	884718099
925	219	3	884718099
925	561	3	884718100
925	217	2	884718100
925	567	3	884718156
925	5	4	884718156
925	816	3	884718156
925	788	3	884718204
925	563	2	884718204
77	181	3	884732278
77	50	4	884732345
77	474	5	884732407
77	183	5	884732606
77	153	5	884732685
77	100	3	884732716
77	246	5	884732808
77	1	5	884732808
77	222	4	884732873
77	15	2	884732873
77	250	3	884732873
77	455	3	884732873
77	127	2	884732927
77	276	2	884732991
77	125	3	884733014
77	25	2	884733055
77	121	2	884733261
77	833	1	884733284
77	252	1	884733379
77	1028	1	884733400
77	405	3	884733422
77	174	5	884733587
77	641	5	884733621
77	156	4	884733621
77	175	4	884733655
77	431	5	884733695
77	195	5	884733695
77	484	5	884733766
77	89	5	884733839
77	268	5	884733857
77	154	5	884733922
77	238	5	884733965
77	199	5	884733988
77	498	5	884734016
829	198	4	884736647
320	300	4	884748229
320	340	2	884748230
320	288	4	884748277
320	292	3	884748299
320	892	3	884748299
320	895	4	884748346
